codearvalis;datemesure;ETP;GLOT;RR;TN;TX;ETP_origine;GLOT_origine;RR_origine;TN_origine;TX_origine
101;2010-01-01;0.2;121.0;6.0;1.3;6.3;0.2;121.0;6.0;1.3;6.3
110;2010-01-01;0.3;121.0;7.7;1.5;6.0;0.3;121.0;7.7;1.5;6.0
120;2010-01-01;0.3;168.0;4.2;1.1;6.5;0.3;168.0;4.2;1.1;6.5
127;2010-01-01;0.19;90.4;8.4;1.7;5.6;0.19;90.4;8.4;1.7;5.6
135;2010-01-01;0.3;168.0;11.0;0.0;4.9;0.3;168.0;11.0;0.0;4.9
145;2010-01-01;0.2;121.0;4.2;1.1;6.0;0.2;121.0;4.2;1.1;6.0
152;2010-01-01;0.2;168.0;5.6;4.6;8.8;0.2;168.0;5.6;4.6;8.8
157;2010-01-01;0.2;121.0;1.5;4.5;5.5;0.2;121.0;1.5;4.5;5.5
160;2010-01-01;0.2;121.0;3.7;5.5;8.0;0.2;121.0;3.7;5.5;8.0
170;2010-01-01;0.2;82.0;2.4;1.7;5.9;0.2;82.0;2.4;1.7;5.9
