param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.026073206721577955};0.070308202;0.95629411;6773;4483112;115643;89560
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.026073206721577955};0.072072914;0.956366526;6943;4483282;115473;89390
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.026073206721577955};0.073557348;0.956427441;7086;4483425;115330;89247
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.026073206721577955};0.073048696;0.956406568;7037;4483376;115379;89296
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.026073206721577955};0.070796093;0.956314131;6820;4483159;115596;89513
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.026073206721577955};0.070650763;0.956308167;6806;4483145;115610;89527
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.026073206721577955};0.070546957;0.956303907;6796;4483135;115620;89537
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.026073206721577955};0.067941412;0.956196987;6545;4482884;115871;89788
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.026073206721577955};0.069706124;0.956269403;6715;4483054;115701;89618
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.026073206721577955};0.070079827;0.956284738;6751;4483090;115665;89582
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.026073206721577955};0.064162852;0.956041931;6181;4482520;116235;90152
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.026073206721577955};0.065450053;0.956094753;6305;4482644;116111;90028
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.026073206721577955};0.068159405;0.956205933;6566;4482905;115850;89767
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.026073206721577955};0.06603137;0.956118607;6361;4482700;116055;89972
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.026073206721577955};0.068906813;0.956236603;6638;4482977;115778;89695
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.026073206721577955};0.071398171;0.956338838;6878;4483217;115538;89455
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.026073206721577955};0.072820321;0.956397196;7015;4483354;115401;89318
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.026073206721577955};0.073412019;0.956421477;7072;4483411;115344;89261
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.026073206721577955};0.073474303;0.956424033;7078;4483417;115338;89255
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.026073206721577955};0.071803017;0.956355451;6917;4483256;115499;89416
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.026073206721577955};0.069218233;0.956249382;6668;4483007;115748;89665
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.026073206721577955};0.065263202;0.956087085;6287;4482626;116129;90046
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.026073206721577955};0.068668058;0.956226806;6615;4482954;115801;89718
