;param;accuracy;recall;precision;f1;TP;TN;FP;FN
0;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 100};0.956235751;0.068886052;0.0542086;0.060672277;4482975;6636;89697;115780
1;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 200};0.956298796;0.070422389;0.055417592;0.062025426;4483123;6784;89549;115632
2;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 300};0.956339264;0.071408552;0.056193635;0.062894002;4483218;6879;89454;115537
3;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 100};0.956242993;0.069062523;0.054347471;0.060827707;4482992;6653;89680;115763
4;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 200};0.956271959;0.069768408;0.054902954;0.061449424;4483060;6721;89612;115695
5;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 300};0.956217434;0.068439683;0.053857339;0.060279133;4482932;6593;89740;115823
6;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 100};0.955075389;0.040609137;0.031956607;0.035767021;4480251;3912;92421;118504
7;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 200};0.954960802;0.03781674;0.029759182;0.033307581;4479982;3643;92690;118773
8;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 300};0.954967617;0.03798283;0.029889884;0.033453867;4479998;3659;92674;118757
9;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 100};0.956340115;0.071429313;0.056209973;0.062912288;4483220;6881;89452;115535
10;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 200};0.956323076;0.071014087;0.055883218;0.062546572;4483180;6841;89492;115575
11;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 300};0.956262162;0.069529652;0.05471507;0.061239137;4483037;6698;89635;115718
12;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 100};0.956310297;0.070702667;0.055638152;0.062272285;4483150;6811;89522;115605
13;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 200};0.956108384;0.065782235;0.051766109;0.057938551;4482676;6337;89996;116079
14;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 300};0.956243419;0.069072903;0.05435564;0.06083685;4482993;6654;89679;115762
15;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 100};0.95490798;0.036529538;0.028746242;0.032173861;4479858;3519;92814;118897
16;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 200};0.955008085;0.038968993;0.030665926;0.034322443;4480093;3754;92579;118662
17;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 300};0.955002121;0.038823664;0.030551562;0.034194442;4480079;3740;92593;118676
18;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 100};0.956303481;0.070536576;0.05550745;0.062125998;4483134;6795;89538;115621
19;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 200};0.956176114;0.067432759;0.053064959;0.059392272;4482835;6496;89837;115920
20;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 300};0.95618932;0.06775456;0.053318194;0.059675701;4482866;6527;89806;115889
21;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 100};0.956116477;0.065979467;0.051921317;0.058112266;4482695;6356;89977;116060
22;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 200};0.956012539;0.063446586;0.049928114;0.055881398;4482451;6112;90221;116304
23;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 300};0.956060248;0.06460922;0.050843027;0.056905403;;;;
24;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 100};0.954971451;0.038076256;0.029963403;0.033536153;;;;
25;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 200};0.955022568;0.039321935;0.030943667;0.034633301;;;;
26;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 300};0.955008085;0.038968993;0.030665926;0.034322443;;;;
27;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 100};0.955359516;0.047533036;0.037405241;0.041865334;;;;
28;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 200};0.9554068;0.04868529;0.038311985;0.042880196;;;;
29;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 300};0.955479642;0.050460382;0.039708862;0.044443632;;;;
30;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 100};0.955521387;0.051477687;0.040509411;0.045339636;;;;
31;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 200};0.955403392;0.048602244;0.038246634;0.042807053;;;;
32;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 300};0.955273043;0.045425763;0.035746961;0.040009326;;;;
33;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 100};0.954754203;0.03278212;0.025797281;0.028873275;;;;
34;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 200};0.954958672;0.037764837;0.029718337;0.033261866;;;;
35;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 300};0.954837268;0.034806349;0.02739021;0.03065614;;;;
36;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 100};0.920706492;0.138426085;0.044064145;0.066848807;;;;
37;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 200};0.920643873;0.136900128;0.043578398;0.066111891;;;;
38;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 300};0.920648559;0.137014315;0.043614747;0.066167034;;;;
39;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 100};0.920442386;0.131990076;0.042015418;0.063740726;;;;
40;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 200};0.920434292;0.131792844;0.041952635;0.063645478;;;;
41;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 300};0.92050756;0.133578317;0.042520991;0.06450772;;;;
42;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 100};0.918901627;0.094443233;0.030063411;0.045608582;;;;
43;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 200};0.919041347;0.097848089;0.031147254;0.047252857;;;;
44;{'contamination': 0.06445595688942245, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 300};0.918825803;0.092595476;0.029475229;0.044716262;;;;
45;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 100};0.920577846;0.135291126;0.043066217;0.065334871;;;;
46;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 200};0.920602979;0.135903584;0.043261176;0.06563064;;;;
47;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 300};0.920598293;0.135789397;0.043224828;0.065575496;;;;
48;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 100};0.920465389;0.132550632;0.042193856;0.06401143;;;;
49;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 200};0.920548028;0.134564479;0.042834909;0.064983958;;;;
50;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 300};0.920440256;0.131938173;0.041998896;0.063715661;;;;
51;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 100};0.918838156;0.092896515;0.029571056;0.04486164;;;;
52;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 200};0.918815153;0.09233596;0.029392619;0.044590936;;;;
53;{'contamination': 0.06445595688942245, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 300};0.91898384;0.096446701;0.03070116;0.046576098;;;;
54;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 100};0.920315871;0.12890702;0.041034012;0.062251855;;;;
55;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 200};0.920391694;0.130754778;0.041622195;0.063144175;;;;
56;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 300};0.92046837;0.132623296;0.042216987;0.064046521;;;;
57;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 100};0.920247714;0.127246115;0.040505309;0.061449769;;;;
58;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 200};0.920236213;0.126965837;0.04041609;0.061314417;;;;
59;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 300};0.920409586;0.131190765;0.04176098;0.063354722;;;;
60;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 100};0.918665635;0.088692348;0.028232775;0.042831362;;;;
61;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 200};0.918902053;0.094453614;0.030066716;0.045613595;;;;
62;{'contamination': 0.06445595688942245, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 300};0.918978302;0.096311752;0.030658203;0.046510928;;;;
63;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 100};0.919188735;0.101439797;0.032290576;0.048987367;;;;
64;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 200};0.91983409;0.117166495;0.037296738;0.056582113;;;;
65;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 300};0.919566577;0.110647442;0.035221576;0.053433928;;;;
66;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 100};0.919706297;0.114052298;0.036305419;0.055078203;;;;
67;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 200};0.919851981;0.117602483;0.037435523;0.056792661;;;;
68;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 300};0.919817477;0.11676165;0.037167867;0.056386605;;;;
69;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 100};0.918627297;0.087758089;0.027935379;0.042380188;;;;
70;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 200};0.918139979;0.075882616;0.024155148;0.036645278;;;;
71;{'contamination': 0.06445595688942245, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 300};0.918680544;0.089055671;0.028348429;0.043006818;;;;
72;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 100};0.88431186;0.186872619;0.037283804;0.062164822;;;;
73;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 200};0.884510791;0.191720387;0.038251004;0.063777475;;;;
74;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 300};0.884575113;0.193287866;0.038563739;0.064298911;;;;
75;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 100};0.884360847;0.188066395;0.037521979;0.062561942;;;;
76;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 200};0.88437533;0.188419337;0.037592397;0.062679351;;;;
77;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 300};0.884357439;0.187983349;0.037505411;0.062534316;;;;
78;{'contamination': 0.10283870705726693, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 100};0.882624138;0.145744449;0.029078136;0.048483174;;;;
