Station;Nom;Latitude;Longitude;Altitude;En Service;Fréquence;Paramètres;Lambert93x;Lambert93y;stationproche1;stationproche2;stationproche3;stationproche4;stationproche5;distance_station1;distance_station2;distance_station3;distance_station4;distance_station5;min;max
101;AMBERIEU-CHATEAU-GAILLARD (MN);45.97666667;5.33;250;Ouverte;RécupJ+2;ETP;880376;6544544;160;157;170;192;3869;20.391568870491547;21.174503276346297;21.3272091470028;23.6083211177754;23.71120505162064;2010-01-01;2024-12-31
105;SUTRIEU;45.91611111;5.624722222;878;Ouverte;RécupJ+2;TP;903407;6538539;152;142;7470;101;120;16.92324513797516;18.755177338537752;20.13538658680285;23.800987080371268;24.005579372304265;2023-07-01;2024-12-31
110;SAINT JULIEN SUR REYSSOUZE;46.40166667;5.108333333;189;* Fermée *;RécupJ+2;TP;861960;6591242;7180;7116;145;3925;7101;18.01492237007976;23.434409273544745;25.95203487204809;26.170002254489777;26.42393975167216;2010-01-01;2010-12-31
120;BELLEGARDE SUR VALSERINE;46.085;5.818333333;350;* Fermée *;RécupJ+2;ERTP;917736;6557799;7470;185;7424;135;105;8.240640751786236;17.74449058158616;18.395634264683565;23.90227355294889;24.005579372304265;2010-01-01;2024-01-18
123;DIVONNE_ZA;46.34138889;6.139722222;467;Ouverte;RécupJ+2;TP;941421;6587186;127;172;7437;7442;3920;5.767409470464187;10.161288107321829;14.414539083855578;19.14228831670864;23.223985812086607;2023-07-01;2024-12-31
127;CESSY;46.31;6.08;507;Ouverte;RécupJ+2;ERTP;936967;6583522;123;172;7442;3920;7437;5.767409470464187;8.967284761844024;17.940261369333506;18.252509115187426;18.363392088609334;2010-01-01;2024-12-31
135;OYONNAX/ARBENT;46.27333333;5.668333333;534;Ouverte;RécupJ+2;TP;905445;6578299;3920;185;3925;120;172;13.84418809464824;14.687520451049592;20.998427560176975;23.90227355294889;29.427345666913283;2010-01-01;2024-12-31
142;VERIZIEU;45.77722222;5.487222222;281;Ouverte;RécupJ+2;TP;893241;6522778;3869;152;105;160;3819;8.183838952472122;15.519784953407054;18.755177338537752;19.708333313601127;20.52503205844025;2023-07-01;2024-12-31
145;CEYZERIAT (A‚rodrome);46.20333333;5.286666667;260;Ouverte;RécupJ+2;TP;876293;6569607;3925;170;157;101;185;23.693459857099807;23.958963082737952;24.275211821938857;25.39340185953824;25.48008290802838;2010-01-01;2024-12-31
152;BELLEY;45.77;5.686666667;330;Ouverte;RécupJ+2;TP;908758;6522484;142;105;7329;7414;7301;15.519784953407054;16.92324513797516;20.425736559546635;20.85040011606492;21.710506673037365;2010-01-01;2024-12-31
